index,timestamp,speed_desired,ambient_temperature,ambient_pressure,speed,temperature,pressure,machineID
0,2022-01-21 12:50:00,1000,20.07,100.91,585.32,135.45,231.59,M_0000
1,2022-01-21 12:50:01,1000,20.02,101.1,875.68,135.51,548.94,M_0000
2,2022-01-21 12:50:02,1000,20.09,101.0,1030.86,135.49,891.34,M_0000
3,2022-01-21 12:50:03,1000,20.06,100.95,1104.33,135.4,1136.46,M_0000
4,2022-01-21 12:50:04,1000,19.99,100.99,1139.91,135.46,1345.25,M_0000
5,2022-01-21 12:50:05,1000,20.07,101.02,1156.81,135.49,1452.4,M_0000
6,2022-01-21 12:50:06,1000,20.07,101.08,1165.3,135.35,1530.42,M_0000
7,2022-01-21 12:50:07,1000,20.0,101.09,1171.69,135.41,1591.93,M_0000
8,2022-01-21 12:50:08,1000,19.9,100.99,1175.83,135.54,1627.93,M_0000
9,2022-01-21 12:50:09,1000,19.95,100.99,1171.88,135.38,1635.21,M_0000
10,2022-01-21 12:50:10,1000,19.95,101.05,1177.38,135.4,1651.64,M_0000
11,2022-01-21 12:50:11,1000,19.98,100.98,1171.55,135.52,1650.55,M_0000
12,2022-01-21 12:50:12,1000,20.01,100.94,1172.64,135.37,1648.07,M_0000
13,2022-01-21 12:50:13,1000,19.93,100.95,1170.91,135.49,1638.68,M_0000
14,2022-01-21 12:50:14,1000,20.07,101.02,1174.38,135.54,1645.28,M_0000
15,2022-01-21 12:50:15,1000,19.98,100.96,1176.75,135.36,1670.35,M_0000
16,2022-01-21 12:50:16,1000,19.91,100.95,1170.61,135.52,1649.17,M_0000
17,2022-01-21 12:50:17,1000,20.03,100.95,1178.2,135.5,1651.27,M_0000
18,2022-01-21 12:50:18,1000,20.06,101.01,1175.12,135.49,1634.97,M_0000
19,2022-01-21 12:50:19,1000,19.97,101.04,1169.59,135.36,1665.41,M_0000
20,2022-01-21 12:50:20,1000,19.93,100.95,1177.38,135.43,1643.37,M_0000
21,2022-01-21 12:50:21,1000,19.95,101.03,1173.35,135.45,1636.48,M_0000
22,2022-01-21 12:50:22,1000,20.09,101.01,1171.36,135.4,1641.33,M_0000
23,2022-01-21 12:50:23,1000,20.07,101.0,1169.93,135.43,1656.27,M_0000
24,2022-01-21 12:50:24,1000,19.98,100.91,1176.14,135.4,1649.08,M_0000
25,2022-01-21 12:50:25,1000,20.08,100.91,1170.79,135.43,1653.08,M_0000
26,2022-01-21 12:50:26,1000,20.06,100.95,1172.18,135.37,1666.81,M_0000
27,2022-01-21 12:50:27,1000,19.96,100.97,1178.09,135.52,1651.91,M_0000
